experiment,approach,fold,train_size,test_size,accuracy,f1,balanced_accuracy,roc_auc,reduction_seconds,training_seconds,prediction_seconds
approach_c_mobilenet_resnet50_pca300_linear_svm,C,6,308,34,0.9117647058823529,0.9090909090909091,0.9117647058823529,0.9757785467128027,2.1636339990072884,0.006946302019059658,0.0012443669838830829
approach_c_mobilenet_resnet50_pca300_linear_svm,C,7,308,34,0.8823529411764706,0.8947368421052632,0.8823529411764706,0.9688581314878892,2.1573659629793838,0.006717526994179934,0.0012165639782324433
approach_c_mobilenet_resnet50_pca300_linear_svm,C,8,308,34,0.9705882352941176,0.9714285714285714,0.9705882352941176,1.0,2.141174842021428,0.006971932016313076,0.0012511700042523444
approach_c_mobilenet_resnet50_pca300_linear_svm,C,9,308,34,0.9705882352941176,0.9714285714285714,0.9705882352941176,0.9930795847750865,2.14790013799211,0.0067204529768787324,0.0012538349837996066
approach_c_mobilenet_resnet50_pca300_linear_svm,C,10,308,34,0.9117647058823529,0.918918918918919,0.9117647058823529,0.986159169550173,2.17982152098557,0.006861149973701686,0.0012716490309685469
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,1,307,35,0.8857142857142857,0.8947368421052632,0.8839869281045751,0.9183006535947712,1.7752988100401126,0.010435761010739952,0.0013806359493173659
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,2,307,35,0.9142857142857143,0.918918918918919,0.9133986928104575,0.9673202614379085,1.7465491219772957,0.005982308997772634,0.0014420630177482963
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,3,308,34,0.9117647058823529,0.9230769230769231,0.90625,0.9861111111111112,1.6539503300446086,0.004353992000687867,0.0013385660131461918
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,4,308,34,1.0,1.0,1.0,1.0,1.7352512289653532,0.00892927497625351,0.006031011987943202
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,5,308,34,0.9411764705882353,0.9444444444444444,0.9409722222222222,0.96875,1.8619768369826488,0.0039470180054195225,0.001286537037231028
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,6,308,34,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9619377162629758,1.735950877016876,0.0162985940114595,0.0044051090371795
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,7,308,34,0.8529411764705882,0.8717948717948718,0.8529411764705883,0.9204152249134948,1.7368567090015858,0.010842865973245353,0.0013218240346759558
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,8,308,34,0.9705882352941176,0.9714285714285714,0.9705882352941176,0.9965397923875432,1.6593021379667334,0.012203754973597825,0.001343395037110895
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,9,308,34,0.8823529411764706,0.8888888888888888,0.8823529411764706,0.9826989619377162,1.9692702040192671,0.009659625007770956,0.0013438860187307
approach_d_mobilenet_resnet50_pca100_rbf_svm,D,10,308,34,0.9117647058823529,0.918918918918919,0.9117647058823529,0.9653979238754324,1.693486102973111,0.004014556994661689,0.0014009549631737173
