experiment,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std
b_efficientnetb3_relieff_150_rbf_svm,10,0.7941176470588235,0.8407563025210084,0.875,0.8331092436974789,0.06082392957051241,0.8108108108108109,0.8409090909090909,0.8828828828828829,0.8411860829507889,0.05692097491878935,0.8108108108108109,0.8409090909090909,0.8828828828828829,0.8411860829507889,0.05692097491878935,0.7741935483870968,0.8311195445920303,0.8705357142857143,0.8235334162990711,0.06661798533966728,0.7925021795989537,0.8401093218455647,0.8746617965367965,0.8323597496249299,0.061293820187551876,0.7916666666666667,0.839562908496732,0.875,0.8322916666666668,0.06097135504160168,0.5863954716083737,0.6809667453611967,0.754316851111752,0.6673858531316672,0.12145024267949114,0.7536764705882353,0.8180147058823529,0.8676470588235294,0.8018382352941178,0.07543387413855222,0.8259803921568627,0.8333333333333334,0.9281045751633986,0.8627450980392158,0.06231089170403087,0.8,0.8284313725490196,0.9166666666666666,0.8482282913165268,0.0665745547749508,0.7894736842105263,0.8377192982456141,0.8667763157894737,0.8219822841417269,0.06127641791286502,0.870746828143022,0.9057393790849673,0.9448529411764706,0.90383145905421,0.05833344781581624
b_efficientnetb3_relieff_150_linear_svm,10,0.7720588235294117,0.8088235294117647,0.8529411764705882,0.8125210084033613,0.049386303519692115,0.7909090909090909,0.80625,0.8571428571428571,0.818809695206754,0.04154712590133752,0.7909090909090909,0.80625,0.8571428571428571,0.818809695206754,0.04154712590133752,0.7704991087344029,0.8166666666666667,0.8484848484848485,0.8032860333266013,0.06479604839694673,0.7720142602495543,0.8084280303030303,0.8528138528138528,0.8110478642666775,0.05122243385093629,0.7720588235294117,0.8110702614379085,0.8538602941176471,0.812704248366013,0.0507509584152885,0.5716827768340011,0.6259705170432159,0.7071067811865476,0.6314143337464321,0.09628503462976978,0.7647058823529411,0.8492647058823529,0.8805147058823529,0.8022058823529411,0.1170044746890916,0.7794117647058822,0.8333333333333334,0.8333333333333334,0.823202614379085,0.06224324995743773,0.7742914979757085,0.8180147058823529,0.8399122807017544,0.8155811358404238,0.052687864209372784,0.7679738562091503,0.8500000000000001,0.8784313725490196,0.8221294097349083,0.07996392629335224,0.875,0.9131944444444444,0.9221453287197232,0.9035467128027681,0.04237871073145036
b_efficientnetb3_relieff_150_mlp,10,0.8308823529411764,0.8529411764705882,0.8760504201680672,0.8452100840336134,0.04702846826756939,0.8517857142857143,0.8610038610038611,0.8724662162162162,0.8543431877255407,0.039265126853996246,0.8517857142857143,0.8610038610038611,0.8724662162162162,0.8543431877255407,0.039265126853996246,0.7989631336405529,0.8484848484848485,0.8738859180035651,0.832920284438311,0.060639272690558105,0.8263396749283847,0.8528138528138528,0.8756270475020476,0.8436317360819258,0.04875004893526572,0.8303206699346405,0.8535539215686274,0.8758169934640523,0.84421977124183,0.04853649174365942,0.6949407425121821,0.7071067811865476,0.7522188967954248,0.696454675707997,0.09217388821197758,0.7766544117647058,0.8235294117647058,0.8805147058823529,0.8077205882352942,0.10276668801938899,0.8455882352941176,0.8856209150326797,0.8888888888888888,0.8807189542483661,0.06164557218701921,0.8355263157894737,0.8708333333333333,0.8805147058823529,0.8700193498452012,0.06415162602303758,0.7916666666666667,0.8421052631578947,0.8823529411764706,0.8348652904057399,0.06768566748551803,0.9080612024221453,0.9253472222222222,0.9345444059976931,0.9275206651287966,0.026939580385925487
b_efficientnetb3_relieff_150_logistic,10,0.7720588235294117,0.838235294117647,0.8560924369747899,0.824201680672269,0.05785354726219809,0.8,0.8360071301247771,0.862934362934363,0.8331133237015589,0.050074530964295205,0.8,0.8360071301247771,0.862934362934363,0.8331133237015589,0.050074530964295205,0.7704991087344029,0.8360071301247771,0.854978354978355,0.812345323709421,0.07195536656292431,0.7720142602495543,0.8381716322892794,0.8557096057096057,0.8227293237054901,0.05967654326615891,0.7720588235294117,0.8396650326797386,0.8556985294117647,0.8239787581699346,0.05906744407299791,0.5716827768340011,0.6799422794821627,0.7128451503887936,0.6537117290410108,0.11297360243549964,0.7647058823529411,0.8235294117647058,0.875,0.7963235294117647,0.1139666349725504,0.8235294117647058,0.8333333333333334,0.8888888888888888,0.8516339869281045,0.0615290042984012,0.7864583333333334,0.8284313725490196,0.8854166666666666,0.8387390305772658,0.060281705059116876,0.7679738562091503,0.8421052631578947,0.875,0.8210161486409973,0.07962874522007635,0.9010476739715494,0.9116145232602844,0.9307357747020376,0.9123594290657439,0.038216890966875076
b_efficientnetb3_relieff_150_random_forest,10,0.8308823529411764,0.8697478991596639,0.8848739495798319,0.8566386554621849,0.052890316891800036,0.8421052631578947,0.8617424242424243,0.8872549019607843,0.855589573021162,0.05876675060048776,0.8421052631578947,0.8617424242424243,0.8872549019607843,0.855589573021162,0.05876675060048776,0.8142857142857143,0.8733974358974359,0.8888888888888888,0.855665408165408,0.05220954913810192,0.8289929368876737,0.8685983595257789,0.8847017973856208,0.855627490593285,0.05370041040502119,0.8308823529411764,0.8715277777777778,0.8860294117647058,0.8568831699346404,0.05345154113148412,0.6760894097483989,0.7554684758269006,0.7753034029636369,0.7206859778579658,0.10395826311555842,0.8363970588235294,0.8823529411764706,0.9402573529411764,0.8738970588235295,0.09144571383827968,0.8235294117647058,0.8611111111111112,0.8888888888888888,0.8398692810457515,0.09388436351379187,0.8355263157894737,0.849624060150376,0.8805147058823529,0.8465343853772647,0.06950029652034594,0.8187500000000001,0.8888888888888888,0.9364583333333333,0.8812406629318394,0.07724216495575571,0.9171667747981546,0.946282679738562,0.9735483347750864,0.9406790657439448,0.03934895567327668
b_efficientnetb3_relieff_150_adaboost,10,0.8308823529411764,0.8529411764705882,0.8823529411764706,0.8626890756302521,0.047408001595608866,0.8437001594896332,0.8566748566748568,0.8932748538011696,0.8661257851240874,0.05160951956978683,0.8437001594896332,0.8566748566748568,0.8932748538011696,0.8661257851240874,0.05160951956978683,0.825062034739454,0.8571428571428571,0.8729166666666667,0.8572371848581526,0.047535518696976004,0.8301343177855276,0.8528138528138528,0.8816337719298246,0.8616814849911199,0.047972025313020514,0.8303206699346405,0.8529411764705882,0.8823529411764706,0.862438725490196,0.04762693999547149,0.6649555105573397,0.7071067811865476,0.7742250667705012,0.7322830902888366,0.09246695686738038,0.7766544117647058,0.8235294117647058,0.8823529411764706,0.8444852941176471,0.08162261511111889,0.838235294117647,0.8888888888888888,0.9436274509803921,0.880392156862745,0.09339267299896162,0.8392857142857143,0.8666666666666667,0.9333333333333332,0.8792258721670485,0.07629230092867115,0.8176691729323309,0.8460526315789474,0.875,0.8606284943127047,0.06314621340891902,0.8958333333333333,0.9152249134948097,0.9567474048442905,0.9245878988850442,0.0398584461372641
b_efficientnetb3_relieff_150_gaussian_nb,10,0.744327731092437,0.8088235294117647,0.8823529411764706,0.8009243697478992,0.10456357895686567,0.7423076923076923,0.8001893939393939,0.8854166666666666,0.7929424088982912,0.11721480564959523,0.7423076923076923,0.8001893939393939,0.8854166666666666,0.7929424088982912,0.11721480564959523,0.7294117647058824,0.8166666666666667,0.8854166666666666,0.8052910123517043,0.09993309427033525,0.7387488947833776,0.8084280303030303,0.8819444444444444,0.7991167106249977,0.10634966321858329,0.7409109477124184,0.8110702614379085,0.8872549019607843,0.8019607843137255,0.10552152272702633,0.4984496807939942,0.6259705170432159,0.7841213635816666,0.611144708911626,0.21004905652104044,0.7352941176470589,0.8786764705882353,0.9411764705882352,0.8441176470588234,0.12544614729364512,0.7099673202614379,0.7712418300653594,0.8700980392156863,0.7598039215686274,0.14158077412315534,0.7136222910216719,0.7793522267206479,0.8666666666666667,0.7779620768098356,0.1084033174657343,0.7462406015037594,0.8666666666666667,0.9322916666666666,0.8406334416357636,0.1233274970428836,0.8143292243367936,0.8786524413687042,0.9072096669550174,0.857814902921953,0.07764420168293017
b_efficientnetb3_relieff_200_decision_tree,10,0.7720588235294117,0.8142857142857143,0.875,0.8128571428571428,0.0822318990796598,0.7803030303030303,0.8313090418353576,0.8809523809523809,0.8183433993766812,0.08515310212123042,0.7803030303030303,0.8313090418353576,0.8809523809523809,0.8183433993766812,0.08515310212123042,0.7521551724137931,0.8116554054054055,0.8621212121212122,0.8052148375094623,0.08191567952685719,0.7703083554376657,0.8133237154618733,0.8737297789929369,0.8117791184430716,0.08239418939144535,0.770578022875817,0.8145424836601307,0.8723958333333334,0.8120506535947711,0.08204237626796995,0.5478384961474113,0.6353446734100326,0.7525380313304387,0.6291208001296222,0.16435207785542896,0.7205882352941176,0.7886029411764706,0.8621323529411764,0.7904411764705883,0.09400396524884852,0.7475490196078431,0.8611111111111112,0.9281045751633986,0.8336601307189542,0.10809536754142812,0.7625,0.8348416289592759,0.9130952380952382,0.8261141683394004,0.09609682350117162,0.7431077694235588,0.8210526315789474,0.8625,0.8081048208757187,0.08329039443035458,0.770578022875817,0.8145424836601307,0.8723958333333334,0.8120506535947711,0.08204237626796994
b_efficientnetb3_relieff_200_rbf_svm,10,0.7955882352941176,0.838235294117647,0.8970588235294117,0.8420168067226891,0.06518731493873152,0.8108108108108109,0.8452950558213717,0.901930501930502,0.8499361220413852,0.06120339677807546,0.8108108108108109,0.8452950558213717,0.901930501930502,0.8499361220413852,0.06120339677807546,0.7909090909090909,0.8193548387096774,0.8961038961038962,0.8323284108364755,0.07148539242494878,0.7952907452907453,0.8364199513605286,0.8969696969696969,0.8411322664389302,0.06573829094668228,0.7953431372549019,0.8350694444444444,0.8970588235294117,0.8409517973856209,0.06545019476459225,0.5919425444829756,0.6765111704581084,0.795495128834866,0.685686879670238,0.1304175821391065,0.7536764705882353,0.8180147058823529,0.8823529411764706,0.8077205882352942,0.07949738938645608,0.8259803921568627,0.8611111111111112,0.9281045751633986,0.8741830065359476,0.07160186320200344,0.8031250000000001,0.8452380952380952,0.9197916666666667,0.8608134920634921,0.07491084501042801,0.7921052631578948,0.8273026315789473,0.8854166666666666,0.8286915204678362,0.06271190693098852,0.8898410467128028,0.9126838235294117,0.9490400326797386,0.9107482698961938,0.05548744059495009
b_efficientnetb3_relieff_200_linear_svm,10,0.7720588235294117,0.7941176470588235,0.8176470588235294,0.7980672268907563,0.038537655910996234,0.7882775119617225,0.8,0.8120777027027027,0.804022764011154,0.030143234716455993,0.7882775119617225,0.8,0.8120777027027027,0.804022764011154,0.030143234716455993,0.7670777988614801,0.793939393939394,0.8250000000000001,0.7897385771985,0.0529861116656397,0.7716549566644443,0.793939393939394,0.8171875000000001,0.796880670604827,0.039896836505397756,0.7740502450980392,0.7941176470588236,0.8178104575163399,0.7985089869281046,0.03961298051743605,0.548355579413864,0.5934349778279933,0.639014621536872,0.6019044974144351,0.0755817412639121,0.7205882352941176,0.8180147058823529,0.8676470588235294,0.7908088235294117,0.10566895366268224,0.7679738562091503,0.8006535947712419,0.8333333333333334,0.8062091503267975,0.05321102676163191,0.7797619047619048,0.7894736842105263,0.828125,0.797874895572264,0.03809541088470852,0.7569444444444444,0.8125,0.8558823529411765,0.8090478312537137,0.07341851050724946,0.9047691993464053,0.9221453287197232,0.9288855247981546,0.9129349288735101,0.024118721350457565
b_efficientnetb3_relieff_200_mlp,10,0.8308823529411764,0.8529411764705882,0.926470588235294,0.8713445378151261,0.053402977502236694,0.8458646616541353,0.8683298683298684,0.9237132352941176,0.8774394533682459,0.048866826219291476,0.8458646616541353,0.8683298683298684,0.9237132352941176,0.8774394533682459,0.048866826219291476,0.8290229885057472,0.8435972629521017,0.926470588235294,0.8631457941318571,0.06148277582358706,0.829610134836428,0.8523005619779813,0.9263174019607843,0.8702926237500515,0.05424843488548702,0.8294526143790849,0.8524305555555556,0.926470588235294,0.870404411764706,0.05407670230895324,0.6755804008578505,0.7101871343523678,0.8529411764705882,0.7470770157412642,0.10420655083053888,0.765625,0.8786764705882353,0.926470588235294,0.8496323529411764,0.10262629830134809,0.8823529411764706,0.8888888888888888,0.9411764705882352,0.8911764705882353,0.057909668830175315,0.8595238095238095,0.8885448916408669,0.9230769230769232,0.8842409190396807,0.050906655926581425,0.8176691729323309,0.8745098039215686,0.926470588235294,0.8692432060543516,0.07861529839919001,0.9288194444444444,0.9463667820069204,0.9568525326797386,0.9465289792387542,0.03155443555719456
b_efficientnetb3_relieff_200_logistic,10,0.7720588235294117,0.8235294117647058,0.8560924369747899,0.8184873949579832,0.053982467702007327,0.7882775119617225,0.8180147058823529,0.8571428571428571,0.8233032821152015,0.04782693791361022,0.7882775119617225,0.8180147058823529,0.8571428571428571,0.8233032821152015,0.04782693791361022,0.7735294117647058,0.8284313725490196,0.854978354978355,0.8116418605059579,0.06579237928889016,0.7720142602495543,0.8232230392156863,0.856060606060606,0.8174725713105797,0.05534787238368709,0.7740502450980392,0.8235294117647058,0.8566176470588236,0.8186070261437909,0.05457517783740604,0.548355579413864,0.6493212945322067,0.7135414011789898,0.640664507698854,0.10450828233658106,0.8152573529411764,0.8235294117647058,0.8823529411764706,0.8143382352941175,0.10355573440807908,0.7794117647058822,0.8333333333333334,0.8700980392156863,0.822875816993464,0.056430800421491414,0.7866541353383458,0.8284313725490196,0.8333333333333334,0.8156070322865988,0.04797716324471263,0.8125,0.8284313725490196,0.8784313725490196,0.8286229946524063,0.07317458756075043,0.9254613610149943,0.9357638888888888,0.944636678200692,0.9262531237985389,0.029021113768198773
b_efficientnetb3_relieff_200_random_forest,10,0.8308823529411764,0.8823529411764706,0.8848739495798319,0.8594957983193279,0.04382979321478116,0.8437001594896332,0.8786764705882353,0.8872549019607843,0.861446474921707,0.045573507859012014,0.8437001594896332,0.8786764705882353,0.8872549019607843,0.861446474921707,0.045573507859012014,0.8142857142857143,0.875,0.8872549019607843,0.8559990216182168,0.046199286006559356,0.8289929368876737,0.8819444444444444,0.8842395510835914,0.858722748269962,0.044366892267852495,0.8308823529411764,0.8819444444444444,0.8860294117647058,0.8594771241830067,0.04450052729974909,0.6760894097483989,0.7638888888888888,0.7739664882801671,0.7241909628450747,0.0872890428700716,0.8363970588235294,0.8786764705882353,0.8823529411764706,0.8617647058823531,0.08517289108861863,0.8259803921568627,0.8856209150326797,0.8888888888888888,0.8571895424836601,0.07352820139405637,0.8355263157894737,0.8660714285714286,0.8805147058823529,0.8571877232674447,0.05735922092291246,0.8187500000000001,0.8856209150326797,0.8888888888888888,0.87234243697479,0.07002692015308373,0.930615628604383,0.953125,0.9740484429065744,0.9469062379853902,0.03162941625285107
