experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
a_efficientnetb6_gaussian_nb,A,gaussian_nb,4,308,34,665856,8,0.8529411764705882,0.8648648648648649,0.8648648648648649,0.8387096774193549,0.85178727114211,0.8506944444444444,0.7050707456243541,13,3,2,16,0.8125,0.8888888888888888,0.8666666666666667,0.8421052631578947,0.8506944444444444,0.158985310990829,0.4483299829880707,0.1180008010123856
a_efficientnetb6_decision_tree,A,decision_tree,5,308,34,665856,8,0.7941176470588235,0.8108108108108109,0.8108108108108109,0.7741935483870968,0.7925021795989537,0.7916666666666667,0.5863954716083737,12,4,3,15,0.75,0.8333333333333334,0.8,0.7894736842105263,0.7916666666666666,0.1689313409733586,49.853689078998286,0.0069727790541946
a_efficientnetb6_rbf_svm,A,rbf_svm,5,308,34,665856,8,0.7647058823529411,0.7777777777777778,0.7777777777777778,0.75,0.7638888888888888,0.7638888888888888,0.5277777777777778,12,4,4,14,0.75,0.7777777777777778,0.75,0.7777777777777778,0.8923611111111112,0.1689313409733586,11.781632918980904,4.609517629025504
a_efficientnetb6_linear_svm,A,linear_svm,5,308,34,665856,8,0.9117647058823528,0.9090909090909092,0.9090909090909092,0.9142857142857144,0.9116883116883115,0.9166666666666669,0.837707816583391,16,0,3,15,1.0,0.8333333333333334,0.8421052631578947,1.0,0.9375,0.1689313409733586,12.583703538984992,2.128559453994967
a_efficientnetb6_mlp,A,mlp,5,308,34,665856,8,0.8529411764705882,0.8571428571428571,0.8571428571428571,0.8484848484848485,0.8528138528138528,0.8541666666666667,0.7071067811865476,14,2,3,15,0.875,0.8333333333333334,0.8235294117647058,0.8823529411764706,0.8958333333333333,0.1689313409733586,22.988314577029087,0.0484618369955569
a_efficientnetb6_logistic,A,logistic,5,308,34,665856,8,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9444444444444444,0.8888888888888888,16,0,2,16,1.0,0.8888888888888888,0.8888888888888888,1.0,0.9618055555555556,0.1689313409733586,2.7361048469902016,0.0389527429942972
a_efficientnetb6_random_forest,A,random_forest,5,308,34,665856,8,0.8235294117647058,0.8421052631578947,0.8421052631578947,0.8,0.8210526315789474,0.8194444444444444,0.6479515952918626,12,4,2,16,0.75,0.8888888888888888,0.8571428571428571,0.8,0.935763888888889,0.1689313409733586,4.123335208976641,0.0165748390136286
a_efficientnetb6_adaboost,A,adaboost,5,308,34,665856,8,0.8235294117647058,0.8125,0.8125,0.8333333333333334,0.8229166666666667,0.8298611111111112,0.6690804516600756,15,1,5,13,0.9375,0.7222222222222222,0.75,0.9285714285714286,0.9236111111111112,0.1689313409733586,587.3340374130057,0.3529880500282161
a_efficientnetb6_gaussian_nb,A,gaussian_nb,5,308,34,665856,8,0.7058823529411765,0.6875,0.6875,0.7222222222222222,0.7048611111111112,0.7118055555555556,0.4296200794869959,13,3,7,11,0.8125,0.6111111111111112,0.65,0.7857142857142857,0.7118055555555556,0.1689313409733586,0.452190215990413,0.1188307150150649
a_efficientnetb6_decision_tree,A,decision_tree,6,308,34,665856,8,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.4117647058823529,12,5,5,12,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.1582055889884941,49.858436957991216,0.0069467549910768
a_efficientnetb6_rbf_svm,A,rbf_svm,6,308,34,665856,8,0.7941176470588235,0.7878787878787878,0.7878787878787878,0.8,0.793939393939394,0.7941176470588235,0.5892556509887896,14,3,4,13,0.8235294117647058,0.7647058823529411,0.7777777777777778,0.8125,0.9100346020761244,0.1582055889884941,12.34435540199047,4.805951738031581
a_efficientnetb6_linear_svm,A,linear_svm,6,308,34,665856,8,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.1582055889884941,12.821145573980177,2.237503009964712
