experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
smoke_mobilenet_pca40_linear_svm,B,linear_svm,1,307,35,40,2,0.8285714285714286,0.8235294117647058,0.8235294117647058,0.8333333333333334,0.8284313725490196,0.8300653594771241,0.6622986417652335,15,2,4,14,0.8823529411764706,0.7777777777777778,0.7894736842105263,0.875,0.9117647058823528,0.7768434970057569,0.0262288009980693,0.0003715989878401
smoke_mobilenet_pca40_linear_svm,B,linear_svm,2,307,35,40,2,0.9428571428571428,0.9444444444444444,0.9444444444444444,0.9411764705882352,0.94281045751634,0.94281045751634,0.8856209150326797,16,1,1,17,0.9411764705882352,0.9444444444444444,0.9411764705882352,0.9444444444444444,0.9803921568627452,0.7926457960275002,0.0916420919820666,0.0003063750336878
smoke_mobilenet_pca40_linear_svm,B,linear_svm,3,308,34,40,2,0.9411764705882352,0.9444444444444444,0.9444444444444444,0.9375,0.9409722222222222,0.9409722222222222,0.8819444444444444,15,1,1,17,0.9375,0.9444444444444444,0.9375,0.9444444444444444,0.9722222222222222,0.7955481249955483,0.0573491179966367,0.0003005439648404
smoke_mobilenet_pca40_linear_svm,B,linear_svm,4,308,34,40,2,0.8529411764705882,0.8571428571428571,0.8571428571428571,0.8484848484848485,0.8528138528138528,0.8541666666666667,0.7071067811865476,14,2,3,15,0.875,0.8333333333333334,0.8235294117647058,0.8823529411764706,0.9652777777777778,0.7679243899765424,0.0351389269926585,0.0003835419774986
smoke_mobilenet_pca40_linear_svm,B,linear_svm,5,308,34,40,2,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.875,0.8819444444444444,0.8819444444444444,0.7638888888888888,14,2,2,16,0.875,0.8888888888888888,0.875,0.8888888888888888,0.9652777777777776,0.884047464991454,0.0149146860348992,0.0003857060219161
smoke_mobilenet_pca40_linear_svm,B,linear_svm,6,308,34,40,2,0.8823529411764706,0.875,0.875,0.8888888888888888,0.8819444444444444,0.8823529411764706,0.77005354108682,16,1,3,14,0.9411764705882352,0.8235294117647058,0.8421052631578947,0.9333333333333332,0.958477508650519,0.7801241330453195,0.0302777389879338,0.0003775699879042
smoke_mobilenet_pca40_linear_svm,B,linear_svm,7,308,34,40,2,0.8235294117647058,0.8333333333333334,0.8333333333333334,0.8125,0.8229166666666667,0.8235294117647058,0.6515837655350015,13,4,2,15,0.7647058823529411,0.8823529411764706,0.8666666666666667,0.7894736842105263,0.8754325259515571,0.8369175389525481,0.0621441300027072,0.0002939410042017
smoke_mobilenet_pca40_linear_svm,B,linear_svm,8,308,34,40,2,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16,1,0,17,0.9411764705882352,1.0,1.0,0.9444444444444444,0.9826989619377162,0.8135777810239233,0.0898344610468484,0.0003021669690497
smoke_mobilenet_pca40_linear_svm,B,linear_svm,9,308,34,40,2,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16,1,1,16,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.986159169550173,0.7811512689804658,0.0124343619681894,0.0003891719970852
smoke_mobilenet_pca40_linear_svm,B,linear_svm,10,308,34,40,2,0.8529411764705882,0.8484848484848485,0.8484848484848485,0.8571428571428571,0.8528138528138528,0.8529411764705882,0.7071067811865476,15,2,3,14,0.8823529411764706,0.8235294117647058,0.8333333333333334,0.875,0.958477508650519,0.901979434012901,0.0176890419679693,0.0003908660146407
