experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,6,308.0,34.0,300.0,8.0,0.9117647058823528,0.9090909090909092,0.9090909090909092,0.9142857142857144,0.9116883116883115,0.9117647058823528,0.8249579113843054,16.0,1.0,2.0,15.0,0.9411764705882352,0.8823529411764706,0.8888888888888888,0.9375,0.9757785467128028,2.407179427100345,0.0072755049914121,0.0012209669221192
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,7,308.0,34.0,300.0,8.0,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8823529411764706,0.7867957924694431,13.0,4.0,0.0,17.0,0.7647058823529411,1.0,1.0,0.8095238095238095,0.9688581314878892,2.322254728060216,0.0059162660036236,0.0007278008852154
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,8,308.0,34.0,300.0,8.0,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16.0,1.0,0.0,17.0,0.9411764705882352,1.0,1.0,0.9444444444444444,1.0,2.353448431007564,0.0052169479895383,0.00082828104496
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,9,308.0,34.0,300.0,8.0,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16.0,1.0,0.0,17.0,0.9411764705882352,1.0,1.0,0.9444444444444444,0.9930795847750864,2.356396500952542,0.0056196430232375,0.0007464860100299
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,10,308.0,34.0,300.0,8.0,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9117647058823528,0.8366600265340755,14.0,3.0,0.0,17.0,0.8235294117647058,1.0,1.0,0.85,0.986159169550173,2.294905944960192,0.0071179249789565,0.0008762620855122
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,1,307.0,35.0,600.0,8.0,0.9142857142857144,0.918918918918919,0.918918918918919,0.9090909090909092,0.914004914004914,0.9133986928104576,0.8295126552802181,15.0,2.0,1.0,17.0,0.8823529411764706,0.9444444444444444,0.9375,0.8947368421052632,0.9281045751633988,1.951549477998924,0.0060807629997725,0.0011980940034845
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,2,307.0,35.0,600.0,8.0,0.9428571428571428,0.9444444444444444,0.9444444444444444,0.9411764705882352,0.94281045751634,0.94281045751634,0.8856209150326797,16.0,1.0,1.0,17.0,0.9411764705882352,0.9444444444444444,0.9411764705882352,0.9444444444444444,0.9901960784313726,1.9381899340005475,0.0077730280027026,0.001197872996272
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,3,308.0,34.0,600.0,8.0,0.9411764705882352,0.9473684210526316,0.9473684210526316,0.9333333333333332,0.9403508771929824,0.9375,0.8874119674649423,14.0,2.0,0.0,18.0,0.875,1.0,1.0,0.9,0.9930555555555556,1.8288063330037403,0.0061392040006467,0.0011710129983839
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,4,308.0,34.0,600.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,1.84539377100009,0.0078183950026868,0.0011999670023215
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,5,308.0,34.0,600.0,8.0,0.9411764705882352,0.9444444444444444,0.9444444444444444,0.9375,0.9409722222222222,0.9409722222222222,0.8819444444444444,15.0,1.0,1.0,17.0,0.9375,0.9444444444444444,0.9375,0.9444444444444444,0.9861111111111112,1.8369654580019412,0.006203788005223,0.0011814829995273
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,6,308.0,34.0,600.0,8.0,0.9117647058823528,0.9090909090909092,0.9090909090909092,0.9142857142857144,0.9116883116883115,0.9117647058823528,0.8249579113843054,16.0,1.0,2.0,15.0,0.9411764705882352,0.8823529411764706,0.8888888888888888,0.9375,0.972318339100346,1.8563967170048272,0.0078662969972356,0.0011826249974546
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,7,308.0,34.0,600.0,8.0,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8823529411764706,0.7867957924694431,13.0,4.0,0.0,17.0,0.7647058823529411,1.0,1.0,0.8095238095238095,0.972318339100346,1.8420395409993944,0.0060999889974482,0.001190700000734
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,8,308.0,34.0,600.0,8.0,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16.0,1.0,0.0,17.0,0.9411764705882352,1.0,1.0,0.9444444444444444,1.0,1.873783985996852,0.0079220830011763,0.0011963610013481
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,9,308.0,34.0,600.0,8.0,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16.0,1.0,0.0,17.0,0.9411764705882352,1.0,1.0,0.9444444444444444,0.9930795847750864,1.8857789690009668,0.0063420410006074,0.001223833001859
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,10,308.0,34.0,600.0,8.0,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9117647058823528,0.8366600265340755,14.0,3.0,0.0,17.0,0.8235294117647058,1.0,1.0,0.85,0.986159169550173,1.8471370219995151,0.0078340160034713,0.0011751410056604
