experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,3,308,34,300,1,0.9705882352941176,0.972972972972973,0.972972972972973,0.967741935483871,0.970357454228422,0.96875,0.9424212936563148,15,1,0,18,0.9375,1.0,1.0,0.9473684210526316,0.9965277777777778,2.283156688994495,0.0051430590028758,0.0007645680016139
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,4,308,34,300,1,0.9411764705882352,0.9473684210526316,0.9473684210526316,0.9333333333333332,0.9403508771929824,0.9375,0.8874119674649423,14,2,0,18,0.875,1.0,1.0,0.9,0.9826388888888888,2.238703306997195,0.0052054679981665,0.0008339499981957
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,5,308,34,300,1,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9444444444444444,0.8888888888888888,16,0,2,16,1.0,0.8888888888888888,0.8888888888888888,1.0,0.9965277777777778,2.277964355998847,0.0051986850012326,0.0007887550018494
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,6,308,34,300,1,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16,1,1,16,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9792387543252594,2.2660511330032023,0.0051253749988973,0.0007923919984023
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,7,308,34,300,1,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8823529411764706,0.7867957924694431,13,4,0,17,0.7647058823529411,1.0,1.0,0.8095238095238095,0.9515570934256056,2.2295081580014084,0.0050331189995631,0.0007244020016514
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,8,308,34,300,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0,0,17,1.0,1.0,1.0,1.0,1.0,2.2595226330013247,0.0052254160036682,0.00077294500079
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,9,308,34,300,1,0.9117647058823528,0.9090909090909092,0.9090909090909092,0.9142857142857144,0.9116883116883115,0.9117647058823528,0.8249579113843054,16,1,2,15,0.9411764705882352,0.8823529411764706,0.8888888888888888,0.9375,0.9792387543252594,2.2369544100001804,0.0051379599972278,0.0007656200032215
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,10,308,34,300,1,0.9705882352941176,0.9696969696969696,0.9696969696969696,0.9714285714285714,0.9705627705627706,0.9705882352941176,0.9428090415820634,17,0,1,16,1.0,0.9411764705882352,0.9444444444444444,1.0,0.9688581314878892,2.25006036600098,0.0051198349974583,0.0007586569990962
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,1,307,35,300,1,0.9142857142857144,0.918918918918919,0.918918918918919,0.9090909090909092,0.914004914004914,0.9133986928104576,0.8295126552802181,15,2,1,17,0.8823529411764706,0.9444444444444444,0.9375,0.8947368421052632,0.9281045751633988,2.310866845997225,0.0052897690038662,0.0008442899998044
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,2,307,35,300,1,0.9428571428571428,0.9444444444444444,0.9444444444444444,0.9411764705882352,0.94281045751634,0.94281045751634,0.8856209150326797,16,1,1,17,0.9411764705882352,0.9444444444444444,0.9411764705882352,0.9444444444444444,0.9901960784313726,2.31410816800053,0.0052568160026567,0.0008570649952162
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,3,308,34,300,1,0.9411764705882352,0.9473684210526316,0.9473684210526316,0.9333333333333332,0.9403508771929824,0.9375,0.8874119674649423,14,2,0,18,0.875,1.0,1.0,0.9,0.9930555555555556,2.227595989999827,0.0054515480005647,0.0008555809981771
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,4,308,34,300,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0,0,18,1.0,1.0,1.0,1.0,1.0,2.199796340006287,0.0053066609980305,0.000855231002788
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,5,308,34,300,1,0.9411764705882352,0.9444444444444444,0.9444444444444444,0.9375,0.9409722222222222,0.9409722222222222,0.8819444444444444,15,1,1,17,0.9375,0.9444444444444444,0.9375,0.9444444444444444,0.9826388888888888,2.217930314000114,0.0054675979990861,0.0008712119961273
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,6,308,34,300,1,0.9117647058823528,0.9090909090909092,0.9090909090909092,0.9142857142857144,0.9116883116883115,0.9117647058823528,0.8249579113843054,16,1,2,15,0.9411764705882352,0.8823529411764706,0.8888888888888888,0.9375,0.9757785467128028,2.2083735479973257,0.0054657150030834,0.0008699790050741
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,7,308,34,300,1,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8823529411764706,0.7867957924694431,13,4,0,17,0.7647058823529411,1.0,1.0,0.8095238095238095,0.9688581314878892,2.238840163998248,0.0053249359989422,0.000836576000438
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,8,308,34,300,1,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16,1,0,17,0.9411764705882352,1.0,1.0,0.9444444444444444,1.0,2.242494462996546,0.005344242999854,0.000856553997437
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,9,308,34,300,1,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16,1,0,17,0.9411764705882352,1.0,1.0,0.9444444444444444,0.9930795847750864,2.213088078999135,0.0053492119986913,0.0008438599979854
c_mobilenet_resnet50_pca_300_linear_svm,C,linear_svm,10,308,34,300,1,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9117647058823528,0.8366600265340755,14,3,0,17,0.8235294117647058,1.0,1.0,0.85,0.986159169550173,2.229810300996178,0.0053138949951971,0.0008453920017927
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,1,307,35,600,1,0.9142857142857144,0.918918918918919,0.918918918918919,0.9090909090909092,0.914004914004914,0.9133986928104576,0.8295126552802181,15,2,1,17,0.8823529411764706,0.9444444444444444,0.9375,0.8947368421052632,0.9281045751633988,1.9384886469997584,0.0084013730011065,0.0012163190040155
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,2,307,35,600,1,0.9428571428571428,0.9444444444444444,0.9444444444444444,0.9411764705882352,0.94281045751634,0.94281045751634,0.8856209150326797,16,1,1,17,0.9411764705882352,0.9444444444444444,0.9411764705882352,0.9444444444444444,0.9901960784313726,2.0048863330011955,0.0084853029984515,0.0014684499983559
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,3,308,34,600,1,0.9411764705882352,0.9473684210526316,0.9473684210526316,0.9333333333333332,0.9403508771929824,0.9375,0.8874119674649423,14,2,0,18,0.875,1.0,1.0,0.9,0.9930555555555556,1.887678220999078,0.0104294909979216,0.00115856899356
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,4,308,34,600,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0,0,18,1.0,1.0,1.0,1.0,1.0,1.873623975996452,0.0084703249958693,0.0012197259929962
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,5,308,34,600,1,0.9411764705882352,0.9444444444444444,0.9444444444444444,0.9375,0.9409722222222222,0.9409722222222222,0.8819444444444444,15,1,1,17,0.9375,0.9444444444444444,0.9375,0.9444444444444444,0.9861111111111112,1.8490644359990256,0.0086536650051129,0.0011764139999286
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,6,308,34,600,1,0.9117647058823528,0.9090909090909092,0.9090909090909092,0.9142857142857144,0.9116883116883115,0.9117647058823528,0.8249579113843054,16,1,2,15,0.9411764705882352,0.8823529411764706,0.8888888888888888,0.9375,0.972318339100346,1.8486992990001452,0.0107003180019091,0.0015367110027
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,7,308,34,600,1,0.8823529411764706,0.8947368421052632,0.8947368421052632,0.8666666666666667,0.880701754385965,0.8823529411764706,0.7867957924694431,13,4,0,17,0.7647058823529411,1.0,1.0,0.8095238095238095,0.972318339100346,1.8563365950030857,0.0105997760038007,0.001514978997875
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,8,308,34,600,1,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16,1,0,17,0.9411764705882352,1.0,1.0,0.9444444444444444,1.0,1.8691631369947568,0.0086682219989597,0.0011647919964161
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,9,308,34,600,1,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16,1,0,17,0.9411764705882352,1.0,1.0,0.9444444444444444,0.9930795847750864,1.8428475670007172,0.0087703369936207,0.0011951700071222
d_mobilenet_resnet50_pca_300_linear_svm,D,linear_svm,10,308,34,600,1,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9117647058823528,0.8366600265340755,14,3,0,17,0.8235294117647058,1.0,1.0,0.85,0.986159169550173,1.833021958002064,0.0085073049995116,0.0012158890021964
